task,split,modality,candidate_id,family,score,status,error,fit_seconds,task_log_samples,task_log_features,task_classes,task_imbalance,task_sparse,task_mod_tabular,task_mod_image,task_mod_text,cand_fam_logreg,cand_fam_linearsvc,cand_fam_sgd,cand_fam_knn,cand_strength,cand_balanced,cand_variant_distance,cand_variant_log
train-breast-cancer,train,tabular,logreg-c483.29-b1,logreg,0.9239766081871345,success,,0.0023044999998091953,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6842105263157894,1.0,0.0,0.0
train-breast-cancer,train,tabular,logreg-c1000-b1,logreg,0.9239766081871345,success,,0.0026191670003754552,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.001-b0,linearsvc,0.9532163742690059,success,,0.0013434160009637708,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.0020691-b0,linearsvc,0.9532163742690059,success,,0.0011125839992018882,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.6842105263157894,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.0042813-b0,linearsvc,0.9532163742690059,success,,0.0010788330000650603,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.3684210526315788,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.0088587-b0,linearsvc,0.9590643274853801,success,,0.0013395420010056114,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0526315789473686,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.01833-b0,linearsvc,0.9590643274853801,success,,0.0010634999998728745,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.736842105263158,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.037927-b0,linearsvc,0.9649122807017544,success,,0.0010871670001506573,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4210526315789473,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.078476-b0,linearsvc,0.9590643274853801,success,,0.0011534589993971167,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.105263157894737,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.16238-b0,linearsvc,0.9532163742690059,success,,0.0012024169991491362,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7894736842105265,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.33598-b0,linearsvc,0.9473684210526315,success,,0.0011273750005784677,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.47368421052631593,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.69519-b0,linearsvc,0.935672514619883,success,,0.0011471670004539192,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15789473684210528,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c1.4384-b0,linearsvc,0.935672514619883,success,,0.0011640000011539087,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15789473684210534,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c2.9764-b0,linearsvc,0.9298245614035088,success,,0.001133333000325365,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4736842105263155,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c6.1585-b0,linearsvc,0.9239766081871345,success,,0.001209000000017113,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7894736842105261,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c12.743-b0,linearsvc,0.9239766081871345,success,,0.0013883330011594808,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1052631578947363,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c26.367-b0,linearsvc,0.9239766081871345,success,,0.0014845000005152542,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.421052631578947,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c54.556-b0,linearsvc,0.9239766081871345,success,,0.0013961660006316379,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7368421052631575,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c112.88-b0,linearsvc,0.9239766081871345,success,,0.0020120419994782424,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.052631578947368,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c233.57-b0,linearsvc,0.9239766081871345,success,,0.002434709000226576,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3684210526315788,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c483.29-b0,linearsvc,0.9239766081871345,success,,0.0023600409986102022,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6842105263157894,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c1000-b0,linearsvc,0.9239766081871345,success,,0.0024175839989766246,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.001-b1,linearsvc,0.9649122807017544,success,,0.0013316249987838091,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.0020691-b1,linearsvc,0.9649122807017544,success,,0.0012046249994455138,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.6842105263157894,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.0042813-b1,linearsvc,0.9707602339181286,success,,0.0012357499999779975,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.3684210526315788,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.0088587-b1,linearsvc,0.9707602339181286,success,,0.0012436670003808104,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0526315789473686,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.01833-b1,linearsvc,0.9766081871345029,success,,0.0011930000000575092,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.736842105263158,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.037927-b1,linearsvc,0.9649122807017544,success,,0.0012021669990645023,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4210526315789473,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.078476-b1,linearsvc,0.9590643274853801,success,,0.0011810409996542148,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.105263157894737,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.16238-b1,linearsvc,0.9590643274853801,success,,0.0012187920001451857,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7894736842105265,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.33598-b1,linearsvc,0.9415204678362573,success,,0.001584084000569419,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.47368421052631593,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c0.69519-b1,linearsvc,0.935672514619883,success,,0.0014881660008541076,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15789473684210528,1.0,0.0,0.0
train-breast-cancer,train,tabular,linearsvc-c1.4384-b1,linearsvc,0.935672514619883,success,,0.001295499998377636,6.345636360828596,3.4339872044851463,2.0,0.6274165202108963,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15789473684210534,1.0,0.0,0.0
